pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,785.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,792.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,801.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,804.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,800.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,791.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,785.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,786.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,795.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,804.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,806.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,802.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,794.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,789.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,791.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,798.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,806.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,809.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,805.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,797.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,792.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,793.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,800.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,810.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,813.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,809.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,801.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,795.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,797.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,805.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,813.09
